word,V/C Ratio,S-Score,ULetters
swims,0.25,10,4
sammy,0.25,12,4
jingo,0.67,13,5
rekey,0.67,12,4
bulky,0.25,14,5
wanta,0.67,8,4
youth,0.67,11,5
gloss,0.25,6,4
poots,0.67,7,4
thuds,0.25,9,5
perce,0.67,9,4
menil,0.67,7,5
ureic,1.5,7,5
vendu,0.67,9,5
cuvee,1.5,10,4
popos,0.67,9,3
butts,0.25,7,4
syrup,0.25,10,5
haems,0.67,10,5
ramal,0.67,7,4
barye,0.67,10,5
alcea,1.5,7,4
jaggy,0.25,17,4
cursi,0.67,7,5
spued,0.67,8,5
yogee,1.5,9,4
davit,0.67,9,5
facie,1.5,10,5
tones,0.67,5,5
hacks,0.25,14,5
witan,0.67,8,5
hokis,0.67,12,5
lowan,0.67,8,5
pahus,0.67,10,5
goldy,0.25,10,5
unbox,0.67,14,5
dowts,0.25,9,5
copse,0.67,9,5
snuck,0.25,11,5
haars,0.67,8,4
bello,0.67,7,4
nebek,0.67,11,4
slipt,0.25,7,5
tokes,0.67,9,5
hewgh,0.25,15,4
alose,1.5,5,5
bucks,0.25,13,5
paips,0.67,9,4
sewar,0.67,8,5
mieux,1.5,14,5
madal,0.67,8,4
ahint,0.67,8,5
plish,0.25,10,5
nudgy,0.25,10,5
tuque,1.5,14,4
inane,1.5,5,4
galas,0.67,6,4
neeld,0.67,6,4
urdee,1.5,6,4
amyls,0.25,10,5
keyed,0.67,13,4
laccy,0.25,12,4
slide,0.67,6,5
adoon,1.5,6,4
kaugh,0.67,13,5
naice,1.5,7,5
vamps,0.25,12,5
twier,0.67,8,5
glebe,0.67,8,4
borms,0.25,9,5
krunk,0.25,13,4
buaze,1.5,16,5
imari,1.5,7,4
sepad,0.67,8,5
vertu,0.67,8,5
giant,0.67,6,5
repos,0.67,7,5
courd,0.67,8,5
resin,0.67,5,5
flubs,0.25,10,5
unbid,0.67,8,5
felty,0.25,11,5
decaf,0.67,11,5
razoo,1.5,14,4
hibas,0.67,10,5
pouts,0.67,7,5
kliks,0.25,13,4
eyras,0.67,8,5
fogey,0.67,12,5
aleem,1.5,7,4
papey,0.67,12,4
fiers,0.67,8,5
motet,0.67,7,4
tulip,0.67,7,5
steek,0.67,9,4
scaff,0.25,13,4
queen,1.5,14,4
tango,0.67,6,5
reput,0.67,7,5
rorie,1.5,5,4
monas,0.67,7,5
ponks,0.25,11,5
deros,0.67,6,5
venal,0.67,8,5
piped,0.67,10,4
alaps,0.67,7,4
fitts,0.25,8,4
besee,1.5,7,3
fauld,0.67,9,5
moley,0.67,10,5
apods,0.67,8,5
circs,0.25,9,4
plook,0.67,11,4
asyla,0.67,8,4
waite,1.5,8,5
wound,0.67,9,5
laddu,0.67,7,4
tices,0.67,7,5
bleys,0.25,10,5
tuffe,0.67,11,4
kains,0.67,9,5
kunds,0.25,10,5
seeds,0.67,6,3
alala,1.5,5,2
mawns,0.25,10,5
neddy,0.25,10,4
mengs,0.25,8,5
ewhow,0.67,14,4
doucs,0.67,8,5
tools,0.67,5,4
wacks,0.25,14,5
kypes,0.25,14,5
bunjy,0.25,17,5
braid,0.67,8,5
spifs,0.25,10,4
wyled,0.25,12,5
choli,0.67,10,5
quint,0.67,14,5
panto,0.67,7,5
clown,0.25,10,5
cokey,0.67,14,5
syver,0.25,11,5
coths,0.25,10,5
yokul,0.67,12,5
vogue,1.5,9,5
olden,0.67,6,5
vardo,0.67,9,5
vibed,0.67,11,5
cires,0.67,7,5
fonds,0.25,9,5
adaws,0.67,9,4
amuse,1.5,7,5
sisal,0.67,5,4
phone,0.67,10,5
kwaai,1.5,12,4
bruhs,0.25,10,5
runty,0.25,8,5
wonks,0.25,12,5
psoas,0.67,7,4
alowe,1.5,8,5
knows,0.25,12,5
azido,1.5,15,5
raike,1.5,9,5
sidey,0.67,9,5
sades,0.67,6,4
tared,0.67,6,5
culch,0.25,12,4
poted,0.67,8,5
afoot,1.5,8,4
kerel,0.67,9,4
kakis,0.67,13,4
devos,0.67,9,5
metol,0.67,7,5
avize,1.5,17,5
saids,0.67,6,4
kilts,0.25,9,5
punas,0.67,7,5
copal,0.67,9,5
prial,0.67,7,5
angry,0.25,9,5
sooty,0.67,8,4
slane,0.67,5,5
quest,0.67,14,5
goopy,0.67,11,4
plore,0.67,7,5
dubby,0.25,13,4
himbo,0.67,12,5
dogal,0.67,7,5
appal,0.67,9,3
dorrs,0.25,6,4
cando,0.67,8,5
rewan,0.67,8,5
kagos,0.67,10,5
cloop,0.67,9,4
adays,0.67,9,4
gulet,0.67,6,5
porte,0.67,7,5
clept,0.25,9,5
haiks,0.67,12,5
miyas,0.67,10,5
yeard,0.67,9,5
mifty,0.25,13,5
oater,1.5,5,5
liner,0.67,5,5
manos,0.67,7,5
rower,0.67,8,4
shura,0.67,8,5
quirl,0.67,14,5
jafas,0.67,15,4
clack,0.25,13,4
pikel,0.67,11,5
menad,0.67,8,5
fluky,0.25,15,5
reans,0.67,5,5
enate,1.5,5,4
mates,0.67,7,5
abray,0.67,10,4
thans,0.25,8,5
kuyas,0.67,12,5
songy,0.25,9,5
incog,0.67,8,5
gauds,0.67,7,5
hokum,0.67,14,5
dogma,0.67,9,5
blend,0.25,8,5
areca,1.5,7,4
dirge,0.67,7,5
sarge,0.67,6,5
ryijy,0.25,18,4
latus,0.67,5,5
gambe,0.67,10,5
shack,0.25,14,5
renal,0.67,5,5
reuse,1.5,5,4
slish,0.25,8,4
pagan,0.67,8,4
stirp,0.25,7,5
kylie,0.67,12,5
calif,0.67,10,5
hands,0.25,9,5
kirks,0.25,13,4
docus,0.67,8,5
uveas,1.5,8,5
shaps,0.25,10,4
gonzo,0.67,15,4
mummy,0.25,14,3
thawt,0.25,11,4
actin,0.67,7,5
hoard,0.67,9,5
howls,0.25,11,5
bundt,0.25,8,5
blush,0.25,10,5
supes,0.67,7,4
crogs,0.25,8,5
seron,0.67,5,5
solve,0.67,8,5
chert,0.25,10,5
totty,0.25,8,3
aborn,0.67,7,5
vinho,0.67,11,5
agree,1.5,6,4
snush,0.25,8,4
danks,0.25,10,5
proud,0.67,8,5
racon,0.67,7,5
shaly,0.25,11,5
paged,0.67,9,5
pulse,0.67,7,5
shank,0.25,12,5
onset,0.67,5,5
spain,0.67,7,5
regex,0.67,13,4
ureas,1.5,5,5
orlop,0.67,7,4
mushy,0.25,13,5
cronk,0.25,11,5
latch,0.25,10,5
blive,0.67,10,5
honds,0.25,9,5
gamay,0.67,11,4
heath,0.67,11,4
arnis,0.67,5,5
purau,1.5,7,4
tofus,0.67,8,5
hinds,0.25,9,5
mewed,0.67,11,4
cowks,0.25,14,5
birls,0.25,7,5
goyim,0.67,11,5
stend,0.25,6,5
alant,0.67,5,4
nolle,0.67,5,4
fulth,0.25,11,5
tasar,0.67,5,4
luvvy,0.25,14,4
dives,0.67,9,5
lunge,0.67,6,5
snick,0.25,11,5
derth,0.25,9,5
cosey,0.67,10,5
disci,0.67,8,4
uncos,0.67,7,5
yukos,0.67,12,5
tansy,0.25,8,5
metal,0.67,7,5
barde,0.67,8,5
saucy,0.67,10,5
smear,0.67,7,5
frore,0.67,8,4
kneel,0.67,9,4
grama,0.67,8,4
crios,0.67,7,5
chedi,0.67,11,5
endue,1.5,6,4
bafts,0.25,10,5
ralli,0.67,5,4
smore,0.67,7,5
tenor,0.67,5,5
pawns,0.25,10,5
lodge,0.67,7,5
resol,0.67,5,5
caron,0.67,7,5
tiare,1.5,5,5
poove,1.5,10,4
undam,0.67,8,5
kohas,0.67,12,5
vapes,0.67,10,5
river,0.67,8,4
caffs,0.25,13,4
blahs,0.25,10,5
vapor,0.67,10,5
brach,0.25,12,5
retax,0.67,12,5
molls,0.25,7,4
beans,0.67,7,5
kempy,0.25,16,5
ceric,0.67,9,4
scody,0.25,11,5
ditty,0.25,9,4
porth,0.25,10,5
tarte,0.67,5,4
faqir,0.67,17,5
jagra,0.67,13,4
ogive,1.5,9,5
bezel,0.67,16,4
malae,1.5,7,4
tapis,0.67,7,5
acryl,0.25,10,5
dully,0.25,9,4
trave,0.67,8,5
clads,0.25,8,5
rhime,0.67,10,5
skirr,0.25,9,4
snoot,0.67,5,4
prowk,0.25,14,5
satai,1.5,5,4
embus,0.67,9,5
colza,0.67,16,5
affly,0.25,14,4
dashy,0.25,12,5
bugan,0.67,8,5
wahay,0.67,14,4
shent,0.25,8,5
hodja,0.67,16,5
valli,0.67,8,4
dauby,0.67,11,5
oracy,0.67,10,5
beano,1.5,7,5
corms,0.25,9,5
hukou,1.5,12,4
corni,0.67,7,5
laxes,0.67,12,5
noisy,0.67,8,5
shtum,0.25,10,5
canny,0.25,10,4
outer,1.5,5,5
flaff,0.25,14,3
fuels,0.67,8,5
sieur,1.5,5,5
rehab,0.67,10,5
gleet,0.67,6,4
disco,0.67,8,5
mammy,0.25,14,3
aevum,1.5,10,5
hiped,0.67,11,5
moors,0.67,7,4
agley,0.67,9,5
ebene,1.5,7,3
coady,0.67,11,5
rerun,0.67,5,4
tynde,0.25,9,5
fetwa,0.67,11,5
garba,0.67,8,4
troys,0.25,8,5
kapai,1.5,11,4
calix,0.67,14,5
dites,0.67,6,5
ments,0.25,7,5
praus,0.67,7,5
loofs,0.67,8,4
troth,0.25,8,4
abore,1.5,7,5
rimae,1.5,7,5
early,0.67,8,5
carrs,0.25,7,4
salet,0.67,5,5
miens,0.67,7,5
joeys,0.67,15,5
quirt,0.67,14,5
embar,0.67,9,5
coked,0.67,12,5
leirs,0.67,5,5
cozey,0.67,19,5
flask,0.25,12,5
benis,0.67,7,5
guise,1.5,6,5
patsy,0.25,10,5
kirri,0.67,9,3
brava,0.67,10,4
ridge,0.67,7,5
jotas,0.67,12,5
reaps,0.67,7,5
varus,0.67,8,5
twits,0.25,8,4
freak,0.67,12,5
chads,0.25,11,5
plaud,0.67,8,5
oskin,0.67,9,5
oiran,1.5,5,5
manks,0.25,11,5
adopt,0.67,8,5
triol,0.67,5,5
logan,0.67,6,5
decos,0.67,8,5
glams,0.25,8,5
sadhe,0.67,9,5
cirls,0.25,7,5
theme,0.67,10,4
siver,0.67,8,5
quats,0.67,14,5
mbube,0.67,11,4
drole,0.67,6,5
mhorr,0.25,10,4
garbs,0.25,8,5
quyte,0.67,17,5
kells,0.25,9,4
mitch,0.25,12,5
adage,1.5,7,4
ozeki,1.5,18,5
vrils,0.25,8,5
mohos,0.67,10,4
leeps,0.67,7,4
skivy,0.25,15,5
plaps,0.25,9,4
clied,0.67,8,5
saith,0.67,8,5
saiga,1.5,6,4
swain,0.67,8,5
klutz,0.25,18,5
varan,0.67,8,4
ahing,0.67,9,5
louse,1.5,5,5
clink,0.25,11,5
peery,0.67,10,4
burke,0.67,11,5
scold,0.25,8,5
kunas,0.67,9,5
forze,0.67,17,5
syboe,0.67,10,5
pagod,0.67,9,5
wicca,0.67,12,4
infos,0.67,8,5
guimp,0.67,10,5
kails,0.67,9,5
evils,0.67,8,5
hosed,0.67,9,5
vaned,0.67,9,5
charr,0.25,10,4
muras,0.67,7,5
matzo,0.67,16,5
draff,0.25,12,4
range,0.67,6,5
buffo,0.67,13,4
alist,0.67,5,5
epoch,0.67,12,5
roral,0.67,5,4
yucko,0.67,14,5
crack,0.25,13,4
filet,0.67,8,5
pouff,0.67,13,4
biggy,0.25,12,4
festa,0.67,8,5
moyle,0.67,10,5
ramee,1.5,7,4
bajan,0.67,14,4
margs,0.25,8,5
gored,0.67,7,5
copha,0.67,12,5
dangs,0.25,7,5
bardo,0.67,8,5
micas,0.67,9,5
hiree,1.5,8,4
vegie,1.5,9,4
beers,0.67,7,4
aalii,4.0,5,3
yoghs,0.25,12,5
navel,0.67,8,5
heare,1.5,8,4
fease,1.5,8,4
jorum,0.67,14,5
exeme,1.5,14,3
upped,0.67,10,4
nepit,0.67,7,5
cover,0.67,10,5
smack,0.25,13,5
poney,0.67,10,5
preif,0.67,10,5
cauls,0.67,7,5
gecks,0.25,12,5
burka,0.67,11,5
dates,0.67,6,5
bonce,0.67,9,5
ruffy,0.25,14,4
layer,0.67,8,5
arbah,0.67,10,4
mirkn,0.25,11,5
train,0.67,5,5
enact,0.67,7,5
fremd,0.25,11,5
drave,0.67,9,5
feare,1.5,8,4
erect,0.67,7,4
sweal,0.67,8,5
pring,0.25,8,5
batts,0.25,7,4
thees,0.67,8,4
nudge,0.67,7,5
antas,0.67,5,4
doved,0.67,10,4
pelsh,0.25,10,5
pigmy,0.25,13,5
muiry,0.67,10,5
flora,0.67,8,5
bonne,0.67,7,4
oping,0.67,8,5
nauch,0.67,10,5
pawaw,0.67,13,3
golly,0.25,9,4
muirs,0.67,7,5
minae,1.5,7,5
agloo,1.5,6,4
faked,0.67,13,5
jamon,0.67,14,5
bowne,0.67,10,5
souly,0.67,8,5
funsy,0.25,11,5
claro,0.67,7,5
whids,0.25,12,5
hubba,0.67,12,4
flong,0.25,9,5
snath,0.25,8,5
howes,0.67,11,5
lomas,0.67,7,5
quass,0.67,14,4
aboil,1.5,7,5
nabis,0.67,7,5
shako,0.67,12,5
shoos,0.67,8,3
pooks,0.67,11,4
huger,0.67,9,5
totes,0.67,5,4
glial,0.67,6,4
atigi,1.5,6,4
mirth,0.25,10,5
loans,0.67,5,5
fagin,0.67,9,5
phpht,0.0,15,3
china,0.67,10,5
toter,0.67,5,4
fleek,0.67,12,4
bocce,0.67,11,4
henge,0.67,9,4
sunis,0.67,5,4
nenta,0.67,5,4
booky,0.67,14,4
miles,0.67,7,5
steez,0.67,14,4
pions,0.67,7,5
rapin,0.67,7,5
wolve,0.67,11,5
popup,0.67,11,3
unode,1.5,6,5
gymps,0.0,13,5
stane,0.67,5,5
naids,0.67,6,5
pleas,0.67,7,5
orgia,1.5,6,5
dames,0.67,8,5
abjad,0.67,15,4
peece,1.5,9,3
lurgi,0.67,6,5
frill,0.25,8,4
gitch,0.25,11,5
feued,1.5,9,4
lowps,0.25,10,5
stong,0.25,6,5
price,0.67,9,5
holed,0.67,9,5
eaved,1.5,9,4
humas,0.67,10,5
dered,0.67,7,3
swags,0.25,9,4
imide,1.5,8,4
hydel,0.25,12,5
annus,0.67,5,4
trons,0.25,5,5
moppy,0.25,14,4
rello,0.67,5,4
bents,0.25,7,5
bubal,0.67,9,4
dinlo,0.67,6,5
kiwis,0.67,12,4
urine,1.5,5,5
namer,0.67,7,5
feens,0.67,8,4
idler,0.67,6,5
lanes,0.67,5,5
scrog,0.25,8,5
mased,0.67,8,5
hider,0.67,9,5
ruffe,0.67,11,4
fakey,0.67,15,5
zaris,0.67,14,5
perts,0.25,7,5
satyr,0.25,8,5
suped,0.67,8,5
ganch,0.25,11,5
tibia,1.5,7,4
ceded,0.67,9,3
rabbi,0.67,9,4
stuns,0.25,5,4
stoop,0.67,7,4
abysm,0.25,12,5
aulic,1.5,7,5
carpe,0.67,9,5
moste,0.67,7,5
signs,0.25,6,4
steak,0.67,9,5
mixes,0.67,14,5
panir,0.67,7,5
grids,0.25,7,5
saddy,0.25,10,4
chode,0.67,11,5
viola,1.5,8,5
gigue,1.5,7,4
xerox,0.67,19,4
mirid,0.67,8,4
manor,0.67,7,5
strut,0.25,5,4
curet,0.67,7,5
bonze,0.67,16,5
winks,0.25,12,5
morts,0.25,7,5
geals,0.67,6,5
amlas,0.67,7,4
stubs,0.25,7,4
kembo,0.67,13,5
subah,0.67,10,5
daled,0.67,7,4
hells,0.25,8,4
apres,0.67,7,5
lifer,0.67,8,5
jhils,0.25,15,5
kerry,0.25,12,4
gauss,0.67,6,4
dayal,0.67,9,4
films,0.25,10,5
kophs,0.25,14,5
suede,1.5,6,4
unlap,0.67,7,5
valid,0.67,9,5
wayed,0.67,12,5
mechs,0.25,12,5
picot,0.67,9,5
halva,0.67,11,4
funic,0.67,10,5
zexes,0.67,21,4
pitas,0.67,7,5
nondo,0.67,6,3
waddy,0.25,13,4
lobar,0.67,7,5
rowth,0.25,11,5
threw,0.25,11,5
efits,0.67,8,5
nosir,0.67,5,5
iller,0.67,5,4
dobes,0.67,8,5
kabar,0.67,11,4
toffs,0.25,11,4
rehem,0.67,10,4
reign,0.67,6,5
lenti,0.67,5,5
hucks,0.25,14,5
knock,0.25,15,4
lovey,0.67,11,5
lants,0.25,5,5
skies,0.67,9,4
grouf,0.67,9,5
smuts,0.25,7,4
rifts,0.25,8,5
mauve,1.5,10,5
retro,0.67,5,4
tikia,1.5,9,4
chomp,0.25,14,5
nazar,0.67,14,4
clonk,0.25,11,5
reget,0.67,6,4
ovoid,1.5,9,4
sechs,0.25,10,4
mukim,0.67,13,4
kyars,0.25,12,5
amaze,1.5,16,4
valor,0.67,8,5
woald,0.67,9,5
fisks,0.25,12,4
giber,0.67,8,5
cames,0.67,9,5
round,0.67,6,5
leese,1.5,5,3
pubic,0.67,11,5
barbs,0.25,9,4
issue,1.5,5,4
razor,0.67,14,4
myths,0.0,13,5
kranz,0.25,18,5
baaps,0.67,9,4
poxed,0.67,15,5
vadas,0.67,9,4
jowls,0.25,15,5
twill,0.25,8,4
frita,0.67,8,5
naiad,1.5,6,4
ureal,1.5,5,5
gusla,0.67,6,5
lipid,0.67,8,4
sojas,0.67,12,4
nempt,0.25,9,5
huers,0.67,8,5
puler,0.67,7,5
whoop,0.67,13,4
obied,1.5,8,5
litho,0.67,8,5
debus,0.67,8,5
panax,0.67,14,4
befog,0.67,11,5
kilig,0.67,10,4
nites,0.67,5,5
carex,0.67,14,5
logic,0.67,8,5
swage,0.67,9,5
frati,0.67,8,5
edict,0.67,8,5
dalle,0.67,6,4
iliad,1.5,6,4
boots,0.67,7,4
scour,0.67,7,5
bacon,0.67,9,5
tares,0.67,5,5
sexer,0.67,12,4
masha,0.67,10,4
monal,0.67,7,5
pappi,0.67,11,3
flume,0.67,10,5
abord,0.67,8,5
chivy,0.25,16,5
parol,0.67,7,5
neons,0.67,5,4
mucko,0.67,13,5
event,0.67,8,4
yapon,0.67,10,5
fusks,0.25,12,4
sownd,0.25,9,5
frows,0.25,11,5
paxes,0.67,14,5
whaur,0.67,11,5
skean,0.67,9,5
owing,0.67,9,5
gilet,0.67,6,5
coops,0.67,9,4
abbed,0.67,10,4
onlay,0.67,8,5
akees,1.5,9,4
zouks,0.67,18,5
biers,0.67,7,5
mooni,1.5,7,4
kafir,0.67,12,5
lysin,0.25,8,5
xviii,1.5,15,3
rusas,0.67,5,4
reeds,0.67,6,4
yohay,0.67,14,4
salon,0.67,5,5
hones,0.67,8,5
urupa,1.5,7,4
smirs,0.25,7,4
shirr,0.25,8,4
meter,0.67,7,4
agrin,0.67,6,5
paved,0.67,11,5
lipas,0.67,7,5
ensky,0.25,12,5
trust,0.25,5,4
gippy,0.25,13,4
enjoy,0.67,15,5
appuy,0.67,12,4
fitna,0.67,8,5
moues,1.5,7,5
waxes,0.67,15,5
koiwi,1.5,12,4
lungi,0.67,6,5
bunch,0.25,12,5
goier,1.5,6,5
frape,0.67,10,5
keirs,0.67,9,5
hertz,0.25,17,5
nairu,1.5,5,5
promo,0.67,9,4
sunup,0.67,7,4
refis,0.67,8,5
scudo,0.67,8,5
olent,0.67,5,5
bromo,0.67,9,4
soole,1.5,5,4
conch,0.25,12,4
tepid,0.67,8,5
menge,0.67,8,4
aught,0.67,9,5
yecch,0.25,15,4
burns,0.25,7,5
bogie,1.5,8,5
carpi,0.67,9,5
arete,1.5,5,4
braky,0.25,14,5
naled,0.67,6,5
boned,0.67,8,5
talon,0.67,5,5
gonia,1.5,6,5
deray,0.67,9,5
ceres,0.67,7,4
inker,0.67,9,5
ranga,0.67,6,4
panga,0.67,8,4
reune,1.5,5,4
slomo,0.67,7,4
trema,0.67,7,5
ycled,0.25,11,5
heder,0.67,9,4
narco,0.67,7,5
quake,1.5,18,5
mixie,1.5,14,4
belle,0.67,7,3
genro,0.67,6,5
hurty,0.25,11,5
smeke,0.67,11,4
gosse,0.67,6,4
moruk,0.67,11,5
fusee,1.5,8,4
epact,0.67,9,5
peeve,1.5,10,3
prams,0.25,9,5
seven,0.67,8,4
poops,0.67,9,3
scrum,0.25,9,5
oboli,1.5,7,4
chirl,0.25,10,5
await,1.5,8,4
tweer,0.67,8,4
exies,1.5,12,4
nokes,0.67,9,5
ollie,1.5,5,4
fonly,0.25,11,5
teels,0.67,5,4
ngege,0.67,7,3
lalls,0.25,5,3
casco,0.67,9,4
sigla,0.67,6,5
brier,0.67,7,4
toots,0.67,5,3
poofy,0.67,13,4
miche,0.67,12,5
jawed,0.67,16,5
roast,0.67,5,5
digit,0.67,7,4
gnows,0.25,9,5
pease,1.5,7,4
bogue,1.5,8,5
reams,0.67,7,5
yufts,0.25,11,5
pligs,0.25,8,5
upled,0.67,8,5
gryce,0.25,11,5
jesus,0.67,12,4
biont,0.67,7,5
easts,0.67,5,4
shads,0.25,9,4
umiak,1.5,11,5
smaik,0.67,11,5
irons,0.67,5,5
oozed,1.5,15,4
boxer,0.67,14,5
bento,0.67,7,5
cepes,0.67,9,4
etape,1.5,7,4
torah,0.67,8,5
darky,0.25,13,5
clams,0.25,9,5
alfas,0.67,8,4
guids,0.67,7,5
cibol,0.67,9,5
adder,0.67,7,4
crags,0.25,8,5
lawin,0.67,8,5
moths,0.25,10,5
lucre,0.67,7,5
raspy,0.25,10,5
diels,0.67,6,5
slurb,0.25,7,5
pooey,1.5,10,4
sprig,0.25,8,5
dover,0.67,9,5
spode,0.67,8,5
taser,0.67,5,5
tazza,0.67,23,3
undug,0.67,7,4
rakhi,0.67,12,5
kinds,0.25,10,5
pasha,0.67,10,4
dirts,0.25,6,5
chott,0.25,10,4
olpes,0.67,7,5
widow,0.67,12,4
speks,0.25,11,4
diane,1.5,6,5
goras,0.67,6,5
sents,0.25,5,4
salis,0.67,5,4
lodes,0.67,6,5
hudna,0.67,9,5
yorps,0.25,10,5
ponty,0.25,10,5
snots,0.25,5,4
fuffs,0.25,14,3
oueds,1.5,6,5
stint,0.25,5,4
conky,0.25,14,5
socas,0.67,7,4
crwth,0.0,13,5
wales,0.67,8,5
staff,0.25,11,4
bigot,0.67,8,5
thens,0.25,8,5
ocker,0.67,11,5
plash,0.25,10,5
kamis,0.67,11,5
maxed,0.67,15,5
deawy,0.67,12,5
zhomo,0.67,19,4
taxed,0.67,13,5
hohed,0.67,12,4
modal,0.67,8,5
auxin,1.5,12,5
nyung,0.25,9,4
blags,0.25,8,5
baulk,0.67,11,5
flype,0.25,13,5
pesch,0.25,12,5
monde,0.67,8,5
tower,0.67,8,5
deity,0.67,9,5
tifts,0.25,8,4
shorn,0.25,8,5
thack,0.25,14,5
mawla,0.67,10,4
yawny,0.25,14,4
haere,1.5,8,4
oners,0.67,5,5
muids,0.67,8,5
alumy,0.67,10,5
duces,0.67,8,5
baccy,0.25,14,4
samps,0.25,9,4
gants,0.25,6,5
bliny,0.25,10,5
monos,0.67,7,4
knave,0.67,12,5
kicky,0.25,18,4
sahib,0.67,10,5
kesar,0.67,9,5
hater,0.67,8,5
golem,0.67,8,5
churl,0.25,10,5
bolet,0.67,7,5
churn,0.25,10,5
lambs,0.25,9,5
vuggy,0.25,13,4
notes,0.67,5,5
gawks,0.25,13,5
borer,0.67,7,4
banky,0.25,14,5
amiss,0.67,7,4
oriel,1.5,5,5
nevvy,0.25,14,4
saner,0.67,5,5
conte,0.67,7,5
uncoy,0.67,10,5
bills,0.25,7,4
moray,0.67,10,5
cable,0.67,9,5
mucin,0.67,9,5
medle,0.67,8,4
blots,0.25,7,5
twirl,0.25,8,5
kench,0.25,14,5
liney,0.67,8,5
ditch,0.25,11,5
ombus,0.67,9,5
llama,0.67,7,3
manso,0.67,7,5
loops,0.67,7,4
hough,0.67,12,4
tomen,0.67,7,5
nooky,0.67,12,4
kraft,0.25,12,5
salep,0.67,7,5
kavas,0.67,12,4
hoogo,1.5,9,3
sairs,0.67,5,4
boxla,0.67,14,5
penna,0.67,7,4
maill,0.67,7,4
funis,0.67,8,5
coned,0.67,8,5
botos,0.67,7,4
ilium,1.5,7,4
oktas,0.67,9,5
bumpy,0.25,14,5
reifs,0.67,8,5
bevor,0.67,10,5
delts,0.25,6,5
ghees,0.67,9,4
hokes,0.67,12,5
seers,0.67,5,3
yuans,0.67,8,5
baser,0.67,7,5
sords,0.25,6,4
fundy,0.25,12,5
gubba,0.67,10,4
sants,0.25,5,4
weird,0.67,9,5
mango,0.67,8,5
poalo,1.5,7,4
tecta,0.67,7,4
bedye,0.67,11,4
murre,0.67,7,4
gobby,0.25,13,4
suave,1.5,8,5
praam,0.67,9,4
deevs,0.67,9,4
photy,0.25,13,5
modes,0.67,8,5
apeak,1.5,11,4
retam,0.67,7,5
wauks,0.67,12,5
oncus,0.67,7,5
fayed,0.67,12,5
lawer,0.67,8,5
fichu,0.67,13,5
squib,0.67,16,5
emerg,0.67,8,4
sadic,0.67,8,5
humor,0.67,10,5
pluty,0.25,10,5
emmet,0.67,9,3
yexes,0.67,15,4
wadis,0.67,9,5
fract,0.25,10,5
verre,0.67,8,3
revue,1.5,8,4
enols,0.67,5,5
rides,0.67,6,5
yapok,0.67,14,5
sidha,0.67,9,5
uptak,0.67,11,5
varia,1.5,8,4
rifty,0.25,11,5
knarl,0.25,9,5
plavs,0.25,10,5
unled,0.67,6,5
wafer,0.67,11,5
saugh,0.67,9,5
trooz,0.67,14,4
stale,0.67,5,5
cadie,1.5,8,5
raged,0.67,7,5
egads,0.67,7,5
zayde,0.67,18,5
stock,0.25,11,5
koros,0.67,9,4
ryals,0.25,8,5
nonda,0.67,6,4
jessy,0.25,15,4
layin,0.67,8,5
dopes,0.67,8,5
yarks,0.25,12,5
luges,0.67,6,5
ashed,0.67,9,5
pyxis,0.25,17,5
ondol,0.67,6,4
datal,0.67,6,4
foots,0.67,8,4
relie,1.5,5,4
brave,0.67,10,5
chana,0.67,10,4
poems,0.67,9,5
peaze,1.5,16,4
dumpy,0.25,13,5
heres,0.67,8,4
accas,0.67,9,3
runup,0.67,7,4
surly,0.25,8,5
olona,1.5,5,4
glace,0.67,8,5
putza,0.67,16,5
besit,0.67,7,5
hokey,0.67,15,5
dunch,0.25,11,5
ainee,4.0,5,4
glean,0.67,6,5
epena,1.5,7,4
zolle,0.67,14,4
cleep,0.67,9,4
synth,0.0,11,5
whets,0.25,11,5
bigos,0.67,8,5
aguey,1.5,9,5
jeons,0.67,12,5
cards,0.25,8,5
rists,0.25,5,4
etnas,0.67,5,5
barry,0.25,10,4
luxes,0.67,12,5
ronin,0.67,5,4
snars,0.25,5,4
whole,0.67,11,5
chalk,0.25,14,5
lilts,0.25,5,4
keeve,1.5,12,3
waned,0.67,9,5
ippon,0.67,9,4
redug,0.67,7,5
loipe,1.5,7,5
cotta,0.67,7,4
limns,0.25,7,5
perse,0.67,7,4
psora,0.67,7,5
clipt,0.25,9,5
jirre,0.67,12,4
chiti,0.67,10,4
mauts,0.67,7,5
konks,0.25,13,4
feers,0.67,8,4
pirri,0.67,7,3
sands,0.25,6,4
zappy,0.25,21,4
repel,0.67,7,4
rosit,0.67,5,5
putid,0.67,8,5
gales,0.67,6,5
jobes,0.67,14,5
souse,1.5,5,4
looky,0.67,12,4
jeera,1.5,12,4
verge,0.67,9,4
seppo,0.67,9,4
boffs,0.25,13,4
vacua,1.5,10,4
banjo,0.67,14,5
ayont,0.67,8,5
aegis,1.5,6,5
muses,0.67,7,4
gault,0.67,6,5
boeuf,1.5,10,5
shown,0.25,11,5
shuls,0.25,8,4
poler,0.67,7,5
knoud,0.67,10,5
paedo,1.5,8,5
ekdam,0.67,12,5
bouks,0.67,11,5
spoof,0.67,10,4
guyse,0.67,9,5
ousel,1.5,5,5
newer,0.67,8,4
bilal,0.67,7,4
moled,0.67,8,5
bolts,0.25,7,5
letty,0.25,8,4
rione,1.5,5,5
coats,0.67,7,5
aahed,1.5,9,4
